ISO,District,Sales
VN-D907,Huyện Gò Quao (Kiên Giang),100
VN-D695,Huyện Đồng Phú (Bình Phước),100
VN-D316,Huyện Vĩnh Bảo (Hải Phòng),100
VN-D096,Huyện Mường Nhé (Điện Biên),100
VN-D738,Huyện Thống Nhất (Đồng Nai),100
VN-D709,Huyện Hòa Thành (Tây Ninh),100
VN-D312,Huyện An Dương (Hải Phòng),100
VN-D326,Huyện Văn Giang (Hưng Yên),100
VN-D390,Huyện Cẩm Thủy (Thanh Hóa),100
VN-D397,Huyện Triệu Sơn (Thanh Hóa),100
VN-D593,Thành phố Phan Thiết (Bình Thuận),100
VN-D595,Huyện Tuy Phong (Bình Thuận),100
VN-D770,Quận 3 (Hồ Chí Minh),100
VN-D694,Huyện Hớn Quản (Bình Phước),100
VN-D443,Huyện Can Lộc (Hà Tĩnh),100
VN-D448,Huyện Lộc Hà (Hà Tĩnh),100
VN-D445,Huyện Thạch Hà (Hà Tĩnh),100
VN-D446,Huyện Cẩm Xuyên (Hà Tĩnh),100
VN-D664,Huyện Krông Nô (Đắk Nông),100
VN-D517,Huyện Núi Thành (Quảng Nam),100
VN-D532,Huyện Nghĩa Hành (Quảng Ngãi),100
VN-D533,Huyện Mộ Đức (Quảng Ngãi),100
VN-D534,Huyện Đức Phổ (Quảng Ngãi),100
VN-D823,Huyện Gò Công Tây (Tiền Giang),100
VN-D825,Huyện Tân Phú Đông (Tiền Giang),100
VN-D914,Huyện Giang Thành (Kiên Giang),100
VN-D904,Huyện Tân Hiệp (Kiên Giang),100
VN-D412,Thành phố Vinh (Nghệ An),100
VN-D449,Thị xã Kỳ Anh (Hà Tĩnh),100
VN-D447,Huyện Kỳ Anh (Hà Tĩnh),100
VN-D822,Huyện Chợ Gạo (Tiền Giang),100
VN-D863,Huyện Bình Tân (Vĩnh Long),100
VN-D861,Thị xã Bình Minh (Vĩnh Long),100
VN-D862,Huyện Trà Ôn (Vĩnh Long),100
VN-D875,Huyện Lấp Vò (Đồng Tháp),100
VN-D874,Huyện Thanh Bình (Đồng Tháp),100
VN-D799,Huyện Tân Thạnh (Long An),100
VN-D807,Huyện Cần Giuộc (Long An),100
VN-D276,Huyện Thạch Thất (Hà Nội),100
VN-D308,Quận Đồ Sơn (Hải Phòng),100
VN-D315,Huyện Tiên Lãng (Hải Phòng),100
VN-D221,Huyện Yên Dũng (Bắc Giang),100
VN-D049,Huyện Quảng Uyên (Cao Bằng),100
VN-D234,Huyện Yên Lập (Phú Thọ),100
VN-D450,Thành Phố Đồng Hới (Quảng Bình),100
VN-D452,Huyện Minh Hóa (Quảng Bình),100
VN-D504,Huyện Tây Giang (Quảng Nam),100
VN-D506,Huyện Đại Lộc (Quảng Nam),100
VN-D202,Huyện Ba Chẽ (Quảng Ninh),100
VN-D203,Huyện Vân Đồn (Quảng Ninh),100
VN-D218,Huyện Lục Nam (Bắc Giang),100
VN-D288,Thành phố Hải Dương (Hải Dương),100
VN-D297,Huyện Gia Lộc (Hải Dương),100
VN-D347,Thành phố Phủ Lý (Hà Nam),100
VN-D350,Huyện Kim Bảng (Hà Nam),100
VN-D351,Huyện Thanh Liêm (Hà Nam),100
VN-D574,Huyện Diên Khánh (Khánh Hòa),100
VN-D074,Huyện Hàm Yên (Tuyên Quang),100
VN-D137,Huyện Mù Căng Chải (Yên Bái),100
VN-D058,Thành Phố Bắc Kạn (Bắc Kạn),100
VN-D178,Thành phố Lạng Sơn (Lạng Sơn),100
VN-D180,Huyện Tràng Định (Lạng Sơn),100
VN-D228,Thị xã Phú Thọ (Phú Thọ),100
VN-D230,Huyện Đoan Hùng (Phú Thọ),100
VN-D377,Huyện Yên Mô (Ninh Bình),100
VN-D361,Huyện Nghĩa Hưng (Nam Định),100
VN-D279,Huyện Thường Tín (Hà Nội),100
VN-D292,Huyện Kinh Môn (Hải Dương),100
VN-D158,Huyện Yên Thủy (Hoà Bình),100
VN-D502,Thành phố Tam Kỳ (Quảng Nam),100
VN-D503,Thành phố Hội An (Quảng Nam),100
VN-D508,Huyện Duy Xuyên (Quảng Nam),100
VN-D118,Huyện Quỳnh Nhai (Sơn La),100
VN-D696,Huyện Bù Đăng (Bình Phước),100
VN-D697,Huyện Chơn Thành (Bình Phước),100
VN-D430,Huyện Nam Đàn (Nghệ An),100
VN-D431,Huyện Hưng Nguyên (Nghệ An),100
VN-D188,Huyện Lộc Bình (Lạng Sơn),100
VN-D189,Huyện Đình Lập (Lạng Sơn),100
VN-D260,Huyện Tiên Du (Bắc Ninh),100
VN-D252,Huyện Vĩnh Tường (Vĩnh Phúc),100
VN-D268,Quận Hà Đông (Hà Nội),100
VN-D376,Huyện Kim Sơn (Ninh Bình),100
VN-D089,Huyện Văn Bàn (Lào Cai),100
VN-D105,Thành phố Lai Châu (Lai Châu),100
VN-D171,Huyện Đại Từ (Thái Nguyên),100
VN-D835,Huyện Bình Đại (Bến Tre),100
VN-D386,Huyện Bá Thước (Thanh Hóa),100
VN-D698,Huyện Phú Riềng (Bình Phước),100
VN-D942,Huyện Châu Thành (Sóc Trăng),100
VN-D860,Huyện Tam Bình (Vĩnh Long),100
VN-D681,Huyện Đạ Huoai (Lâm Đồng),100
VN-D249,Huyện Bình Xuyên (Vĩnh Phúc),100
VN-D818,Huyện Tân Phước (Tiền Giang),100
VN-D819,Huyện Cái Bè (Tiền Giang),100
VN-D264,Huyện Lương Tài (Bắc Ninh),100
VN-D044,Huyện Thông Nông (Cao Bằng),100
VN-D063,Huyện Bạch Thông (Bắc Kạn),100
VN-D250,Huyện Mê Linh (Hà Nội),100
VN-D251,Huyện Yên Lạc (Vĩnh Phúc),100
VN-D546,Huyện Vĩnh Thạnh (Bình Định),100
VN-D547,Huyện Tây Sơn (Bình Định),100
VN-D575,Huyện Khánh Sơn (Khánh Hòa),100
VN-D576,Huyện Trường Sa (Khánh Hòa),100
VN-D582,Thành phố Phan Rang-Tháp Chàm (Ninh Thuận),100
VN-D747,Thành phố Vũng Tàu (Bà Rịa - Vũng Tàu),100
VN-D748,Thành phố Bà Rịa (Bà Rịa - Vũng Tàu),100
VN-D750,Huyện Châu Đức (Bà Rịa - Vũng Tàu),100
VN-D751,Huyện Xuyên Mộc (Bà Rịa - Vũng Tàu),100
VN-D964,Thành phố Cà Mau (Cà Mau),100
VN-D369,Thành phố Ninh Bình (Ninh Bình),100
VN-D645,Huyện Ea H'leo (Đắk Lắk),100
VN-D262,Huyện Thuận Thành (Bắc Ninh),100
VN-D736,Huyện Định Quán (Đồng Nai),100
VN-D786,Huyện Nhà Bè (Hồ Chí Minh),100
VN-D787,Huyện Cần Giờ (Hồ Chí Minh),100
VN-D794,Thành phố Tân An (Long An),100
VN-D333,Huyện Phù Cừ (Hưng Yên),100
VN-D339,Huyện Hưng Hà (Thái Bình),100
VN-D797,Huyện Vĩnh Hưng (Long An),100
VN-D905,Huyện Châu Thành (Kiên Giang),100
VN-D414,Thị xã Thái Hoà (Nghệ An),100
VN-D419,Huyện Nghĩa Đàn (Nghệ An),100
VN-D273,Huyện Đan Phượng (Hà Nội),100
VN-D132,Thành phố Yên Bái (Yên Bái),100
VN-D080,Thành phố Lào Cai (Lào Cai),100
VN-D094,Thành phố Điện Biên Phủ (Điện Biên),100
VN-D095,Thị Xã Mường Lay (Điện Biên),100
VN-D133,Thị xã Nghĩa Lộ (Yên Bái),100
VN-D185,Huyện Bắc Sơn (Lạng Sơn),100
VN-D887,Thị xã Tân Châu (An Giang),100
VN-D454,Huyện Quảng Trạch (Quảng Bình),100
VN-D458,Thị xã Ba Đồn (Quảng Bình),100
VN-D479,Thị xã Hương Thủy (Thừa Thiên Huế),100
VN-D480,Thị xã Hương Trà (Thừa Thiên Huế),100
VN-D513,Huyện Thăng Bình (Quảng Nam),100
VN-D516,Huyện Nam Trà My (Quảng Nam),100
VN-D194,Thành phố Móng Cái (Quảng Ninh),100
VN-D217,Huyện Lạng Giang (Bắc Giang),100
VN-D596,Huyện Bắc Bình (Bình Thuận),100
VN-D597,Huyện Hàm Thuận Bắc (Bình Thuận),100
VN-D626,Huyện Đăk Đoa (Gia Lai),100
VN-D048,Huyện Hạ Lang (Cao Bằng),100
VN-D327,Huyện Yên Mỹ (Hưng Yên),100
VN-D328,Huyện Mỹ Hào (Hưng Yên),100
VN-D352,Huyện Bình Lục (Hà Nam),100
VN-D353,Huyện Lý Nhân (Hà Nam),100
VN-D467,Huyện Đa Krông (Quảng Trị),100
VN-D437,Thị xã Hồng Lĩnh (Hà Tĩnh),100
VN-D439,Huyện Hương Sơn (Hà Tĩnh),100
VN-D573,Huyện Khánh Vĩnh (Khánh Hòa),100
VN-D282,Huyện Mỹ Đức (Hà Nội),100
VN-D204,Huyện Hoành Bồ (Quảng Ninh),100
VN-D205,Thị xã Đông Triều (Quảng Ninh),100
VN-D165,Thành phố Sông Công (Thái Nguyên),100
VN-D170,Huyện Võ Nhai (Thái Nguyên),100
VN-D110,Huyện Than Uyên (Lai Châu),100
VN-D116,Thành phố Sơn La (Sơn La),100
VN-D954,Thành phố Bạc Liêu (Bạc Liêu),100
VN-D956,Huyện Hồng Dân (Bạc Liêu),100
VN-D933,Huyện Châu Thành (Hậu Giang),100
VN-D934,Huyện Phụng Hiệp (Hậu Giang),100
VN-D329,Huyện Ân Thi (Hưng Yên),100
VN-D342,Huyện Tiền Hải (Thái Bình),100
VN-D343,Huyện Kiến Xương (Thái Bình),100
VN-D278,Huyện Thanh Oai (Hà Nội),100
VN-D323,Thành phố Hưng Yên (Hưng Yên),100
VN-D903,Huyện Hòn Đất (Kiên Giang),100
VN-D050,Huyện Phục Hoà (Cao Bằng),100
VN-D370,Thành phố Tam Điệp (Ninh Bình),100
VN-D200,Huyện Đầm Hà (Quảng Ninh),100
VN-D195,Thành phố Cẩm Phả (Quảng Ninh),100
VN-D338,Huyện Quỳnh Phụ (Thái Bình),100
VN-D148,Thành phố Hòa Bình (Hoà Bình),100
VN-D349,Huyện Duy Tiên (Hà Nam),100
VN-D777,Quận Bình Tân (Hồ Chí Minh),100
VN-D778,Quận 7 (Hồ Chí Minh),100
VN-D027,Huyện Mèo Vạc (Hà Giang),100
VN-D028,Huyện Yên Minh (Hà Giang),100
VN-D665,Huyện Đắk Song (Đắk Nông),100
VN-D667,Huyện Tuy Đức (Đắk Nông),100
VN-D774,Quận 5 (Hồ Chí Minh),100
VN-D364,Huyện Xuân Trường (Nam Định),100
VN-D365,Huyện Giao Thủy (Nam Định),100
VN-D423,Huyện Tân Kỳ (Nghệ An),100
VN-D425,Huyện Diễn Châu (Nghệ An),100
VN-D106,Huyện Tam Đường (Lai Châu),100
VN-D385,Huyện Quan Hóa (Thanh Hóa),100
VN-D772,Quận 11 (Hồ Chí Minh),100
VN-D820,Huyện Cai Lậy (Tiền Giang),100
VN-D646,Huyện Ea Súp (Đắk Lắk),100
VN-D199,Huyện Tiên Yên (Quảng Ninh),100
VN-D066,Huyện Na Rì (Bắc Kạn),100
VN-D424,Huyện Anh Sơn (Nghệ An),100
VN-D403,Huyện Như Thanh (Thanh Hóa),100
VN-D643,Thành phố Buôn Ma Thuột (Đắk Lắk),100
VN-D111,Huyện Tân Uyên (Lai Châu),100
VN-D373,Huyện Gia Viễn (Ninh Bình),100
VN-D087,Huyện Bảo Yên (Lào Cai),100
VN-D088,Huyện Sa Pa (Lào Cai),100
VN-D889,Huyện Châu Phú (An Giang),100
VN-D601,Huyện Hàm Tân (Bình Thuận),100
VN-D600,Huyện Đức Linh (Bình Thuận),100
VN-D477,Huyện Quảng Điền (Thừa Thiên Huế),100
VN-D296,Huyện Bình Giang (Hải Dương),100
VN-D560,Huyện Sơn Hòa (Phú Yên),100
VN-D332,Huyện Tiên Lữ (Hưng Yên),100
VN-D957,Huyện Phước Long (Bạc Liêu),100
VN-D796,Huyện Tân Hưng (Long An),100
VN-D478,Huyện Phú Vang (Thừa Thiên Huế),100
VN-D569,Thành phố Cam Ranh (Khánh Hòa),100
VN-D570,Huyện Cam Lâm (Khánh Hòa),100
VN-D231,Huyện Hạ Hoà (Phú Thọ),100
VN-D277,Huyện Chương Mỹ (Hà Nội),100
VN-D629,Huyện Mang Yang (Gia Lai),100
VN-D511,Huyện Phước Sơn (Quảng Nam),100
VN-D528,Huyện Tư Nghĩa (Quảng Ngãi),100
VN-D395,Huyện Thọ Xuân (Thanh Hóa),100
VN-D396,Huyện Thường Xuân (Thanh Hóa),100
VN-D754,Huyện Tân Thành (Bà Rịa - Vũng Tàu),100
VN-D594,Thị xã La Gi (Bình Thuận),100
VN-D482,Huyện Phú Lộc (Thừa Thiên Huế),100
VN-D483,Huyện Nam Đông (Thừa Thiên Huế),100
VN-D375,Huyện Yên Khánh (Ninh Bình),100
VN-D026,Huyện Đồng Văn (Hà Giang),100
VN-D869,Huyện Tân Hồng (Đồng Tháp),100
VN-D653,Huyện Krông Bông (Đắk Lắk),100
VN-D654,Huyện Krông Pắc (Đắk Lắk),100
VN-D850,Huyện Duyên Hải (Trà Vinh),100
VN-D193,Thành phố Hạ Long (Quảng Ninh),100
VN-D123,Huyện Mộc Châu (Sơn La),100
VN-D128,Huyện Vân Hồ (Sơn La),100
VN-D124,Huyện Yên Châu (Sơn La),100
VN-D216,Huyện Tân Yên (Bắc Giang),100
VN-D029,Huyện Quản Bạ (Hà Giang),100
VN-D086,Huyện Bảo Thắng (Lào Cai),100
VN-D442,Huyện Nghi Xuân (Hà Tĩnh),100
VN-D356,Thành phố Nam Định (Nam Định),100
VN-D358,Huyện Mỹ Lộc (Nam Định),100
VN-D359,Huyện Vụ Bản (Nam Định),100
VN-D127,Huyện Sốp Cộp (Sơn La),100
VN-D444,Huyện Hương Khê (Hà Tĩnh),100
VN-D720,Huyện Dầu Tiếng (Bình Dương),100
VN-D440,Huyện Đức Thọ (Hà Tĩnh),100
VN-D800,Huyện Thạnh Hóa (Long An),100
VN-D801,Huyện Đức Huệ (Long An),100
VN-D464,Huyện Vĩnh Linh (Quảng Trị),100
VN-D691,Huyện Bù Gia Mập (Bình Phước),100
